City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
348,surt,31.2089,16.5887,13.9,54,60,8.34,LY,1675639945
349,jijiga,9.35,42.8,14.63,34,5,3.79,ET,1675639945
350,baghdad,33.3406,44.4009,10.95,66,0,3.6,IQ,1675639946
351,mecca,21.4267,39.8261,20.41,68,19,0.85,SA,1675639946
352,staryy nadym,65.6118,72.6842,-24.33,100,100,2.29,RU,1675639643
353,ust-omchug,61.15,149.6333,-36.95,99,81,1.63,RU,1675639687
354,orange cove,36.6244,-119.3137,12.91,66,75,4.12,US,1675639947
355,port-gentil,-0.7193,8.7815,24.98,94,20,0.0,GA,1675639948
356,fairbanks,64.8378,-147.7164,-11.06,79,0,2.06,US,1675639500
357,labuhan,-6.8844,112.2051,25.48,84,100,1.5,ID,1675639795
358,namatanai,-3.6667,152.4333,29.12,66,47,1.14,PG,1675639948
359,oum hadjer,13.2954,19.6966,23.08,11,99,4.48,TD,1675639949
360,shimoda,34.6667,138.95,8.39,56,26,4.56,JP,1675639703
361,warmbad,-28.45,18.7333,24.35,41,8,3.87,NA,1675639949
362,coos bay,43.3665,-124.2179,9.52,87,100,6.69,US,1675639646
